session_id,user_id,crs1,crs2,vote
2024-09-08 23:01:08,e7eb4480-6951-4582-91ad-1d19ead970bb,kbrd_redial,kbrd_opendialkg,tie
2024-09-09 12:39:13,049a839e-89e5-4e0b-92e7-f72eb5052ca5,kbrd_redial,kbrd_opendialkg,kbrd_redial
2024-09-09 12:44:14,8460fdbb-3dee-4b19-aa3e-057b40b4b9a6,kbrd_redial,kbrd_opendialkg,kbrd_redial
2024-09-09 16:20:25,c719b21f-6cdb-49f3-b184-3a4a5394d6f9,kbrd_redial,kbrd_opendialkg,tie
2024-09-09 19:07:53,27a7298f-4ca2-441a-83dc-011f5d1ed5ea,kbrd_redial,kbrd_opendialkg,kbrd_redial
2024-09-09 19:15:31,2e6d6a22-b6ab-438a-a183-91761d804b90,unicrs_redial,unicrs_opendialkg,unicrs_opendialkg
2024-09-09 19:35:06,03368a16-93bd-4b21-885d-b9a21e3498ba,barcor_redial,barcor_opendialkg,tie
2024-09-10 02:00:59,f58c432b-a80a-4879-bb36-890e05e349fa,kbrd_redial,kbrd_opendialkg,kbrd_redial
2024-09-10 08:40:38,12983dfe-96a9-46f5-b807-17c90659e3a8,unicrs_redial,unicrs_opendialkg,tie
2024-09-10 08:57:49,f6918ed5-7797-4d0c-b968-0373b08ff172,barcor_redial,barcor_opendialkg,barcor_redial
2024-09-10 12:50:10,c22c525c-d07b-4efd-8657-4e6e2292d742,kbrd_redial,kbrd_opendialkg,kbrd_redial
2024-09-10 20:30:01,2c72ee94-03bb-4b81-8bda-d36617b89987,kbrd_redial,kbrd_opendialkg,kbrd_opendialkg
2024-09-10 21:15:23,25ded133-2225-4183-af7b-ff98096d85e1,unicrs_redial,unicrs_opendialkg,tie
2024-09-11 16:54:12,f45e0dce-9e70-4f75-a952-74ebe83ffc49,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-11 17:34:44,fd33ea0d-55d6-44f8-9b79-76ea73a8c83d,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-11 21:05:24,395ab128-2bb0-43ab-989c-93ee428dc023,chatgpt_redial,chatgpt_opendialkg,tie
2024-09-12 00:13:26,34d6d5e8-3eb7-4cf1-b7b6-631c9e794a4c,chatgpt_opendialkg,chatgpt_redial,chatgpt_opendialkg
2024-09-12 09:08:33,86c042fe-566a-4ec1-bfd9-ed299734038b,barcor_opendialkg,barcor_redial,tie
2024-09-12 10:12:19,b93eb28a-92a4-4f49-9d5c-ef7bc57f4153,chatgpt_redial,barcor_opendialkg,barcor_opendialkg
2024-09-12 10:26:02,8883ff49-089b-4e92-b506-c38e6c62c5b0,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 10:38:04,b0ccb7b7-9209-4edd-ae5b-ef0615e53511,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 10:40:29,6e85effe-3902-4094-a6ec-046c4c21032b,chatgpt_opendialkg,crbcrs_redial,chatgpt_opendialkg
2024-09-12 10:40:53,22bd263f-c560-4cf5-be82-84e9130ec998,chatgpt_redial,barcor_opendialkg,chatgpt_redial
2024-09-12 10:57:33,5fa354b3-3838-4b8e-9b4e-dd57012d5291,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 11:01:13,7ec0c733-2b79-42b1-8053-278a8a496c01,chatgpt_redial,chatgpt_opendialkg,chatgpt_opendialkg
2024-09-12 11:01:37,112ed1c0-abc5-44bc-bf14-b1f9267845da,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 11:02:25,fa1ba55e-a982-4cd8-8d2f-b8bf9d34e211,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 11:04:07,1219a3b4-799e-469d-93b9-b3f0301af910,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 11:04:31,bfa4589c-b896-4fd4-a76b-d960d7800060,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 11:06:47,bd484356-9d60-4d40-aef8-43c9289be3f1,chatgpt_redial,chatgpt_opendialkg,chatgpt_opendialkg
2024-09-12 11:07:11,28979d07-3f1c-44db-b669-df937a4353a1,chatgpt_opendialkg,barcor_opendialkg,barcor_opendialkg
2024-09-12 11:07:42,e93bad92-7864-42b6-99ed-da1cd32e1aa1,chatgpt_opendialkg,crbcrs_redial,chatgpt_opendialkg
2024-09-12 11:09:47,c8359853-2e71-45df-b078-196b7353ce58,chatgpt_opendialkg,barcor_opendialkg,chatgpt_opendialkg
2024-09-12 11:10:15,7899ee10-fbf7-48d6-bd15-781a1d51df4d,chatgpt_opendialkg,barcor_opendialkg,chatgpt_opendialkg
2024-09-12 11:13:11,8707ae3f-0a08-4fdb-880a-fa3181e5db02,barcor_opendialkg,barcor_redial,tie
2024-09-12 11:19:01,ca8170c0-d8ef-4fc1-8fc4-c89d262317e2,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 11:27:35,29791d4d-5364-42e9-aa7a-77bfbe7c5241,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 11:29:20,a25fbc51-fc2a-4921-a8ab-7d491e9d10b6,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 11:35:12,2143d736-b14f-4668-a1df-4d03f281df60,chatgpt_opendialkg,barcor_opendialkg,chatgpt_opendialkg
2024-09-12 11:36:01,375251c2-c528-4e87-b78b-da0ff5d6b405,chatgpt_opendialkg,barcor_opendialkg,tie
2024-09-12 11:43:54,aef2f6ea-58db-484a-ad29-990d81fdaaba,crbcrs_redial,chatgpt_redial,crbcrs_redial
2024-09-12 11:48:49,d8d3fc84-78df-497a-b8de-8044cefc4bff,chatgpt_opendialkg,chatgpt_redial,chatgpt_redial
2024-09-12 11:49:05,b18971bd-ed86-49d8-b2cf-1abbd4143e61,crbcrs_redial,chatgpt_redial,chatgpt_redial
2024-09-12 11:49:54,199b3c22-e01a-4930-a148-caeb5c48b21d,chatgpt_redial,chatgpt_opendialkg,chatgpt_opendialkg
2024-09-12 11:50:32,199b3c22-e01a-4930-a148-caeb5c48b21d,chatgpt_redial,chatgpt_opendialkg,chatgpt_opendialkg
2024-09-12 11:52:00,db4dac93-7452-4c25-bf2e-7da5195b0198,chatgpt_opendialkg,crbcrs_redial,tie
2024-09-12 12:01:25,c19d1b0d-90e5-47c1-9e9d-f11a0f5add8c,barcor_opendialkg,barcor_redial,barcor_redial
2024-09-12 12:16:27,502f08fd-2970-4d8a-84b5-1d410999e309,barcor_redial,barcor_opendialkg,barcor_redial
2024-09-12 12:32:58,c3e6f16f-5f9e-44e4-b874-025600a661e1,barcor_opendialkg,barcor_redial,barcor_opendialkg
2024-09-12 12:34:05,6c892388-9f10-410e-aa6a-6d4774abf6a8,barcor_opendialkg,barcor_redial,barcor_redial
2024-09-12 12:42:50,cd6db7f7-d485-4e80-8b56-c941fb1dd904,barcor_opendialkg,barcor_redial,tie
2024-09-12 12:51:28,9a84c009-0ac6-4a93-b039-ff8ae4c2e8fd,barcor_opendialkg,unicrs_opendialkg,barcor_opendialkg
2024-09-12 12:52:02,4dafa3ab-554f-4fe4-9f10-ca6bd5a0e562,barcor_opendialkg,unicrs_opendialkg,unicrs_opendialkg
2024-09-12 13:15:02,89eaa221-edb1-4712-87c3-a9d4896ff540,crbcrs_redial,unicrs_redial,unicrs_redial
2024-09-12 13:38:56,4bf90840-2741-496d-a017-6c34c3ee7a21,barcor_opendialkg,barcor_redial,tie
2024-09-12 13:51:43,58870fd6-f8b4-47f5-ab1a-693d3880e483,barcor_opendialkg,barcor_redial,barcor_redial
2024-09-12 14:14:54,6b48e981-5be3-4c58-a480-6efc4ea96ab6,barcor_opendialkg,barcor_redial,barcor_redial
2024-09-12 14:27:56,4a0ccb43-cc54-45d0-8ec1-dd659a9f3a16,barcor_opendialkg,unicrs_opendialkg,barcor_opendialkg
2024-09-12 14:46:14,656b0046-ff99-4c18-89de-b1a5e97df188,unicrs_opendialkg,barcor_redial,tie
2024-09-12 14:47:59,979a6d6e-692a-415c-8e03-694517ce19a4,crbcrs_redial,unicrs_redial,crbcrs_redial
2024-09-12 14:48:56,c7fd8c1a-1d1d-468c-990f-27deeb010d57,barcor_redial,crbcrs_redial,barcor_redial
2024-09-12 15:07:19,ee17753c-54f9-4ed7-abd2-2356d171ee79,unicrs_opendialkg,crbcrs_redial,tie
2024-09-12 15:29:33,500b7708-2674-464c-a21b-06c7cb219618,unicrs_opendialkg,crbcrs_redial,crbcrs_redial
2024-09-12 16:02:26,bb4f8cc1-fbfc-4990-83e6-abb3541ee47d,barcor_redial,unicrs_opendialkg,tie
2024-09-12 16:53:19,af93223f-3250-41d7-9ce9-bde1288a578d,crbcrs_redial,unicrs_redial,tie
2024-09-12 18:38:41,fb3bac98-374d-4cc1-b20d-653d477aa7a3,unicrs_redial,crbcrs_redial,tie
2024-09-12 18:46:48,c268bf13-4dcf-43a0-9876-6e3b6c4fed2d,unicrs_opendialkg,unicrs_redial,unicrs_redial
2024-09-12 18:55:38,e32c7ae6-22ed-4cf3-8689-a9b8197c5faf,barcor_redial,unicrs_opendialkg,barcor_redial
2024-09-12 22:06:17,7fb22883-8295-4424-90ca-26a6791226fc,crbcrs_redial,unicrs_redial,tie
2024-09-12 22:15:57,3751f282-b255-4ddf-9faf-2f9895699783,crbcrs_redial,barcor_opendialkg,tie
2024-09-12 22:43:42,06c2c40a-921b-414a-85cc-2501469605cd,barcor_redial,kbrd_opendialkg,barcor_redial
2024-09-13 00:13:45,8daae5d0-353b-477c-8187-a856180170db,crbcrs_redial,unicrs_redial,unicrs_redial
2024-09-13 01:30:05,e2ee45c9-4974-44be-99a7-e4f04d1f7fbe,barcor_redial,crbcrs_redial,tie
2024-09-13 08:19:12,7ac99f08-ad3b-4dc8-b292-701b59fd4a05,unicrs_redial,barcor_redial,barcor_redial
2024-09-13 08:39:56,e50ebfee-e9e7-48f1-bffe-f785fe154641,chatgpt_redial,chatgpt_opendialkg,chatgpt_opendialkg
2024-09-13 09:34:17,87efc87d-39a6-46f4-8f51-0b80d023dcda,unicrs_opendialkg,unicrs_redial,unicrs_redial
2024-09-13 10:06:57,907f7356-ce58-48b1-8b5e-dbae408cca93,kbrd_redial,kbrd_opendialkg,tie
2024-09-13 10:31:18,b233cfc4-6657-42d8-9a28-0a464de24a87,kbrd_redial,kbrd_opendialkg,tie
2024-09-13 10:53:33,94bd941f-595e-4345-ab42-bec55cfd6b4b,kbrd_redial,kbrd_opendialkg,kbrd_opendialkg
2024-09-13 10:57:43,57ac2c8f-75fa-49ad-be36-574004b0c47a,unicrs_redial,unicrs_opendialkg,unicrs_opendialkg
2024-09-13 12:15:34,56759a2a-e597-41ec-85d5-e15bf9899ebf,kbrd_redial,kbrd_opendialkg,kbrd_redial
2024-09-13 12:45:57,f4e52cb8-a5e7-42be-8294-b61cdfcdf83d,kbrd_opendialkg,kbrd_redial,kbrd_redial
2024-09-13 12:56:06,d847452b-5b73-4cbf-a70f-e625c6cc0465,kbrd_redial,kbrd_opendialkg,tie
